area,id,name,age,type,lon,lat
èºêÏë∫,MK-85,ëcïÉÇ™íÀå√ï≠,å√ï≠,å√ï≠,137.8323752000,36.4009711000
èºêÏë∫,MK-86,ç˜ëÚÉIÉJÉÅíÀå√ï≠,å√ï≠,å√ï≠,137.8341091000,36.3965430300
èºêÏë∫,MK-87,ãçåEÇÃåAå√ï≠,å√ï≠,å√ï≠,137.8327464000,36.3934134300
DåQ,D1,D1,å√ï≠,å√ï≠,137.8230361000,36.3848682500
AåQ,A1,A1,å√ï≠,å√ï≠,137.8219443000,36.3799153800
AåQ,A2,A2,å√ï≠,å√ï≠,137.8309776000,36.3775562600
AåQ,A3,A3,å√ï≠,å√ï≠,137.8307892000,36.3797595900
AåQ,A4,A4,å√ï≠,å√ï≠,137.8319260000,36.3795233700
AåQ,A5,A5,å√ï≠,å√ï≠,137.8317067000,36.3792373600
AåQ,A6,A6,å√ï≠,å√ï≠,137.8336404000,36.3788473700
AåQ,A7,A7,å√ï≠,å√ï≠,137.8343071000,36.3786823300
BåQ,B36,B36,å√ï≠,å√ï≠,137.8249913000,36.3699496400
BåQ,B35,B35,å√ï≠,å√ï≠,137.8256702000,36.3698690900
BåQ,B1,B1,å√ï≠,å√ï≠,137.8299777000,36.3679183500
BåQ,B30,B30,å√ï≠,å√ï≠,137.8305206000,36.3684804000
BåQ,B34,B34,å√ï≠,å√ï≠,137.8309151000,36.3681029000
BåQ,B29,B29,å√ï≠,å√ï≠,137.8314124000,36.3678947400
BåQ,B3,B3,å√ï≠,å√ï≠,137.8334995000,36.3663137600
BåQ,B2,B2,å√ï≠,å√ï≠,137.8338168000,36.3658092600
BåQ,B4,B4,å√ï≠,å√ï≠,137.8351474000,36.3657639300
BåQ,B5,B5,å√ï≠,å√ï≠,137.8363897000,36.3653700400
BåQ,B5,B5,å√ï≠,å√ï≠,137.8369658000,36.3650990100
BåQ,B7,B7,å√ï≠,å√ï≠,137.8377774000,36.3647343600
BåQ,B8,B8,å√ï≠,å√ï≠,137.8384467000,36.3642423400
BåQ,B9,B9,å√ï≠,å√ï≠,137.8392940000,36.3635139900
BåQ,B33,B33,å√ï≠,å√ï≠,137.8373405000,36.3639725300
BåQ,B12,B12,å√ï≠,å√ï≠,137.8383839000,36.3624173100
BåQ,B11,B11,å√ï≠,å√ï≠,137.8393183000,36.3621746200
BåQ,B10,B10,å√ï≠,å√ï≠,137.8400016000,36.3615666500
BåQ,B13,B13,å√ï≠,å√ï≠,137.8375467000,36.3615741600
BåQ,B15,B15,å√ï≠,å√ï≠,137.8367713000,36.3622765300
BåQ,B16,B16,å√ï≠,å√ï≠,137.8364105000,36.3617682500
BåQ,B17,B17,å√ï≠,å√ï≠,137.8361025000,36.3611758900
BåQ,B19,B19,å√ï≠,å√ï≠,137.8358608000,36.3619972400
BåQ,B20,B20,å√ï≠,å√ï≠,137.8355926000,36.3628711700
BåQ,B23,B23,å√ï≠,å√ï≠,137.8348320000,36.3633732100
BåQ,B31,B31,å√ï≠,å√ï≠,137.8322465000,36.3591926000
BåQ,B28,B28,å√ï≠,å√ï≠,137.8341725000,36.3611862500
BåQ,B18,B18,å√ï≠,å√ï≠,137.8342861000,36.3616298700
BåQ,B25,B25,å√ï≠,å√ï≠,137.8333864000,36.3616090300
BåQ,B27,B27,å√ï≠,å√ï≠,137.8337815000,36.3619276500
BåQ,B32,B32,å√ï≠,å√ï≠,137.8305259000,36.3598738200
BåQ,B21,B21,å√ï≠,å√ï≠,137.8333861000,36.3631805800
BåQ,B22,B22,å√ï≠,å√ï≠,137.8327416000,36.3630609600
BåQ,B24,B24,å√ï≠,å√ï≠,137.8330134000,36.3640592000
CåQ,C1,C1,å√ï≠,å√ï≠,137.8295718000,36.3517628600
CåQ,C2,C2,å√ï≠,å√ï≠,137.8307061000,36.3517692200
CåQ,C3,C3,å√ï≠,å√ï≠,137.8306423000,36.3500812800
CåQ,C4,C4,å√ï≠,å√ï≠,137.8335452000,36.3506301500
CåQ,C5,C5,å√ï≠,å√ï≠,137.8314733000,36.3497220500
CåQ,C7,C7,å√ï≠,å√ï≠,137.8302738000,36.3497153400
CåQ,C6,C6,å√ï≠,å√ï≠,137.8321281000,36.3509175600
HåQ,H1,H1,å√ï≠,å√ï≠,137.8707374000,36.3555781100
EåQ,E11,E11,å√ï≠,å√ï≠,137.8407995000,36.3330563100
EåQ,E10,E10,å√ï≠,å√ï≠,137.8412102000,36.3322675200
EåQ,E9,E9,å√ï≠,å√ï≠,137.8426919000,36.3320120000
EåQ,E1,E1,å√ï≠,å√ï≠,137.8416025000,36.3298016000
EåQ,E17,E17,å√ï≠,å√ï≠,137.8356413000,36.3264435500
EåQ,E4,E4,å√ï≠,å√ï≠,137.8407865000,36.3253118300
EåQ,E5,E5,å√ï≠,å√ï≠,137.8447335000,36.3248219800
EåQ,E12,E12,å√ï≠,å√ï≠,137.8470232000,36.3253407900
EåQ,E13,E13,å√ï≠,å√ï≠,137.8472510000,36.3261647300
EåQ,E6,E6,å√ï≠,å√ï≠,137.8422380000,36.3197165300
EåQ,E3,E3,å√ï≠,å√ï≠,137.8279783000,36.3194552600
EåQ,E14,E14,å√ï≠,å√ï≠,137.8386153000,36.3180907000
EåQ,E8,E8,å√ï≠,å√ï≠,137.8417747000,36.3190138900
EåQ,E7,E7,å√ï≠,å√ï≠,137.8419670000,36.3193867500
FåQ,F10,F10,å√ï≠,å√ï≠,137.8443959000,36.3159115400
FåQ,F9,F9,å√ï≠,å√ï≠,137.8452941000,36.3160430300
FåQ,F8,F8,å√ï≠,å√ï≠,137.8481618000,36.3167706500
FåQ,F7,F7,å√ï≠,å√ï≠,137.8501783000,36.3184883300
FåQ,F6,F6,å√ï≠,å√ï≠,137.8507248000,36.3180008500
FåQ,F5,F5,å√ï≠,å√ï≠,137.8510770000,36.3185604600
FåQ,F4,F4,å√ï≠,å√ï≠,137.8530300000,36.3193937400
FåQ,F3,F3,å√ï≠,å√ï≠,137.8537887000,36.3198408400
FåQ,F2,F2,å√ï≠,å√ï≠,137.8572008000,36.3200728200
FåQ,F1,F1,å√ï≠,å√ï≠,137.8601962000,36.3210638600
GåQ,G1,G1,å√ï≠,å√ï≠,137.8637235000,36.3272608300
ñxã‡,4-2,ä‚å¥å√ï≠,å√ï≠,å√ï≠,137.8399766000,36.3099582600
ñxã‡,4-5,ëOÇÃîØå√ï≠,å√ï≠,å√ï≠,137.8449165000,36.3024704000
